johnnydmad EX5 test console
Using ff6.smc as source
Playlist file is set to default.txt

press enter to continue or type:
    "chaos" to test chaotic mode
    "sfxv" to check songs for errors, sorted by longest sequence variant
    "mem" to check songs for errors, sorted by highest memory use variant
    "pool" to simulate many seeds and report the observed probability pools for each track
    "battle" to simulate many seeds and report probabilities for only battle music
    "pl FILENAME" to set FILENAME as playlist instead of default
    "dm FILENAME" to generate a test tierboss MML file including FILENAME
pool


[--------------------------------------------------] 9999/10000
[PRELUDE]:
    03.1% xg_theme            (312 / 10000)
    00.7% ff6_dmad:start2        (65 / 10000)
    00.7% ff6_atma               (65 / 10000)
    00.7% ff5_boss               (65 / 10000)
    00.7% ff10_seymour           (65 / 10000)
    00.7% sd1s_field             (65 / 10000)
    00.6% ff7_hurry2             (64 / 10000)
    00.6% ct_truth               (64 / 10000)
    00.6% ff14_battlem           (63 / 10000)
    00.6% ff6_johnny             (63 / 10000)
    00.6% ff4_restless           (63 / 10000)
    00.6% bof2_barubary          (63 / 10000)
    00.6% ff14_battledt          (63 / 10000)
    00.6% met3_brain             (62 / 10000)
    00.6% ff7_gun                (61 / 10000)
    00.6% sd1s_courage           (60 / 10000)
    00.6% ff5_bridge             (60 / 10000)
    00.6% totr_battle            (60 / 10000)
    00.6% ff6_dmad:start3        (59 / 10000)
    00.6% ct_boss                (59 / 10000)
    00.6% ff7_battle_ff6         (59 / 10000)
    00.6% fz_port                (58 / 10000)
    00.6% ct_tylair              (58 / 10000)
    00.6% ct_lavos:full          (57 / 10000)
    00.6% ff6_spinach            (57 / 10000)
    00.6% ff7_rebirth            (56 / 10000)
    00.6% ff7_battle             (56 / 10000)
    00.5% sd1_boss               (54 / 10000)
    00.5% lo_battle              (52 / 10000)
    00.5% sf2_ken                (50 / 10000)
[MOUNTAIN]:
    05.0% sd2_thunder       (499 / 10000)
    04.5% ff6_mountain      (454 / 10000)
    04.5% sdlm_wind         (445 / 10000)
    04.4% sd3_paths         (439 / 10000)
    04.3% cc_valley         (426 / 10000)
    04.2% ff12_estersand    (425 / 10000)
    04.2% ff5_mountain      (417 / 10000)
    04.1% lotr_aragorn      (412 / 10000)
    03.7% sd2_desert        (370 / 10000)
    02.5% lotr_hobbits      (247 / 10000)
    02.4% ff5_pirates       (244 / 10000)
    02.4% ff5_void2         (240 / 10000)
    02.4% gs_venus          (237 / 10000)
    02.4% ff6_forest        (236 / 10000)
    02.3% lal_pogo          (233 / 10000)
    02.3% lu2_world         (233 / 10000)
    02.3% ffmq_gale         (231 / 10000)
    02.3% smrpg_road2       (231 / 10000)
    02.3% ds4_world         (231 / 10000)
    02.3% totr_mountain     (230 / 10000)
    02.2% crys_fields       (225 / 10000)
    02.2% sd2_forest        (224 / 10000)
    02.2% smrpg_road        (216 / 10000)
    02.1% totr_wind         (214 / 10000)
    02.1% ys3_wings         (211 / 10000)
    02.1% sdlm_landscape    (210 / 10000)
    02.1% lu2_mountain      (209 / 10000)
    02.1% sd2_lofty         (209 / 10000)
    02.1% lu1_world         (209 / 10000)
    02.1% sots_boss:nointro (209 / 10000)
    02.1% sd2_sea           (208 / 10000)
    02.0% ff12_ozmone       (204 / 10000)
    02.0% ys8_idance        (203 / 10000)
    02.0% sd2_field         (200 / 10000)
    01.9% sd2_legend        (192 / 10000)
    01.9% ot_cliftlands     (189 / 10000)
    01.9% ff3_eureka        (188 / 10000)
[BATTLE]:
    05.4% lu1_battle         (542 / 10000)
    05.1% ffx_battle         (510 / 10000)
    05.0% ffmq_battle        (495 / 10000)
    04.8% sf2_ken            (482 / 10000)
    04.7% ob_battle          (469 / 10000)
    04.6% ff5_battle         (460 / 10000)
    03.4% rsms_battle        (342 / 10000)
    03.3% lo_battle          (327 / 10000)
    03.1% ff9_battle         (311 / 10000)
    02.8% lu2_battle         (277 / 10000)
    02.7% jts_stage1         (269 / 10000)
    02.7% rs1_battle         (266 / 10000)
    02.6% spo_fight          (264 / 10000)
    02.6% ff7_battle         (262 / 10000)
    02.6% smrpg_battle       (260 / 10000)
    02.6% ff4_battle         (260 / 10000)
    02.6% ff6_battle         (259 / 10000)
    02.6% ff1_battle         (259 / 10000)
    02.5% ct_battle2         (254 / 10000)
    02.5% ff8_battle         (252 / 10000)
    02.5% ff14_battledt      (247 / 10000)
    02.4% fft_apoplexy:part1 (244 / 10000)
    02.4% ct_battle          (243 / 10000)
    02.4% totr_battle        (240 / 10000)
    02.4% lal_psycho         (238 / 10000)
    02.3% arc_battle         (231 / 10000)
    02.3% ff3_battle         (229 / 10000)
    02.3% sf2_guile          (228 / 10000)
    02.3% ff7_hurry2         (228 / 10000)
    02.2% sd1s_field         (224 / 10000)
    02.2% top_battle         (218 / 10000)
    02.2% ff7_battle_ff6     (217 / 10000)
    02.1% bof2_battle        (205 / 10000)
    01.9% ys3_time           (188 / 10000)
[SERPENT]:
    04.2% bof2_dragnier      (423 / 10000)
    04.1% sdlm_landscape     (412 / 10000)
    04.0% ys3_wings          (405 / 10000)
    04.0% sdlm_snowfield     (400 / 10000)
    04.0% ff6_serpent        (399 / 10000)
    04.0% top_freeze         (397 / 10000)
    03.9% bof1_dawn          (390 / 10000)
    03.8% sd2_sea            (376 / 10000)
    03.6% sd2_desert         (357 / 10000)
    02.2% ff12_estersand     (225 / 10000)
    02.2% ff7_snow           (223 / 10000)
    02.2% ff4_world          (219 / 10000)
    02.1% ys8_idance         (214 / 10000)
    02.1% totr_mountain      (211 / 10000)
    02.1% ff3_darkworld      (210 / 10000)
    02.1% sd2_prophecy       (210 / 10000)
    02.1% lu1_world          (210 / 10000)
    02.1% sd3_paths          (207 / 10000)
    02.1% sd3_winter         (206 / 10000)
    02.0% lu2_world          (203 / 10000)
    02.0% top_treant         (203 / 10000)
    02.0% rs1_battle         (202 / 10000)
    02.0% zlttp_darkworld    (201 / 10000)
    02.0% sd3_flight         (196 / 10000)
    01.9% ffmq_forest        (195 / 10000)
    01.9% ff6_falcon         (194 / 10000)
    01.9% sd2_fortress       (193 / 10000)
    01.9% fz_port            (193 / 10000)
    01.9% crys_mountain      (192 / 10000)
    01.9% ffmq_gale          (190 / 10000)
    01.9% ff7_reunion        (187 / 10000)
    01.9% totr_worlds        (186 / 10000)
    01.9% top_cold           (186 / 10000)
    01.8% totr_ruins         (184 / 10000)
    01.8% ff4_giant_remix    (182 / 10000)
    01.8% ob_battle          (181 / 10000)
    01.8% ff5_world2         (180 / 10000)
    01.8% arc_battle:nointro (178 / 10000)
    01.8% sd2_legend         (176 / 10000)
    01.7% xc2_tantal         (169 / 10000)
    01.7% totr_battle        (169 / 10000)
    01.7% ff3_eureka         (166 / 10000)
[ZOZO]:
    03.2% saga3_ruins     (318 / 10000)
    02.9% ot_sunshade     (293 / 10000)
    02.9% sd2_steel       (293 / 10000)
    02.8% sth1_marble     (284 / 10000)
    02.8% ct_dome         (276 / 10000)
    02.8% ff6_zozo        (275 / 10000)
    02.7% ff8_mlaw        (270 / 10000)
    02.6% sd3_blackmarket (261 / 10000)
    01.7% ff7_desert      (174 / 10000)
    01.7% cc_hydra        (168 / 10000)
    01.7% ff4_bomb        (167 / 10000)
    01.7% ff6_owzer       (167 / 10000)
    01.6% ct_sewer        (161 / 10000)
    01.6% met3_crateria   (159 / 10000)
    01.6% lu2_labyrinth   (159 / 10000)
    01.6% ff6_train       (157 / 10000)
    01.6% cv4_chandeliers (157 / 10000)
    01.6% ff5_library     (156 / 10000)
    01.6% ct_seal         (156 / 10000)
    01.5% sd2_sea         (154 / 10000)
    01.5% lal_labyrinth   (154 / 10000)
    01.5% top_morlia      (154 / 10000)
    01.5% ds4_dungeon     (153 / 10000)
    01.5% ff7_5years      (153 / 10000)
    01.5% ff6_narshe      (153 / 10000)
    01.5% ff6_zozo:orig   (151 / 10000)
    01.5% ct_omen         (149 / 10000)
    01.5% sd2_legend      (148 / 10000)
    01.5% ct_silent       (148 / 10000)
    01.5% totr_ruins      (147 / 10000)
    01.5% totr_downfall   (147 / 10000)
    01.5% dc2_palmbrinks  (147 / 10000)
    01.5% ng3_defeat      (146 / 10000)
    01.5% ff6_ruin        (145 / 10000)
    01.4% top_world3      (142 / 10000)
    01.4% ct_factory      (142 / 10000)
    01.4% ff7_mako        (142 / 10000)
    01.4% sdlm_snowfield  (142 / 10000)
    01.4% cc_dragonia     (141 / 10000)
    01.4% mother2_bus     (141 / 10000)
    01.4% ff6_martiallaw  (139 / 10000)
    01.4% ff12_prison     (138 / 10000)
    01.4% ffmq_rock       (138 / 10000)
    01.4% ptsk_level5     (137 / 10000)
    01.4% ff5_curse       (136 / 10000)
    01.3% ff4_moon        (134 / 10000)
    01.3% ff10_ambition   (133 / 10000)
    01.3% top_resur       (133 / 10000)
    01.3% top_cold        (133 / 10000)
    01.3% cc_harle        (132 / 10000)
    01.3% ff7_pizza       (131 / 10000)
    01.3% lu2_narvick     (130 / 10000)
    01.3% wa2_dungeon2    (130 / 10000)
    01.3% xc2_tantal      (128 / 10000)
    01.3% iog_whispers    (126 / 10000)
    01.2% cc_deadsea      (125 / 10000)
    01.2% sd2_desert      (124 / 10000)
    01.2% ff5_book        (124 / 10000)
    01.2% ff4_damcyan     (123 / 10000)
    01.2% smw_castle      (121 / 10000)
    01.2% ff5_seal        (118 / 10000)
    01.2% ff8_triad       (117 / 10000)
[TOWN]:
    04.5% lu1_town          (450 / 10000)
    04.3% ffx_luca          (429 / 10000)
    04.3% ff5_town          (428 / 10000)
    04.3% sd2_city          (427 / 10000)
    04.2% ff6_town          (425 / 10000)
    04.2% ff9_dali          (420 / 10000)
    04.1% ff1_end           (414 / 10000)
    04.1% ct_town           (412 / 10000)
    04.1% ff1_town          (410 / 10000)
    04.1% ff4_town          (406 / 10000)
    04.1% lu2_port          (406 / 10000)
    04.0% lu1_port          (405 / 10000)
    03.9% ffmq_faeria       (389 / 10000)
    03.7% ff8_horizon       (371 / 10000)
    03.6% so2_kurik         (364 / 10000)
    02.3% 7th_town          (228 / 10000)
    02.2% iog_village       (224 / 10000)
    02.2% lu2_town          (222 / 10000)
    02.2% ff6_town2         (221 / 10000)
    02.2% bof2_town         (216 / 10000)
    02.1% pkmnrse_fallarbor (210 / 10000)
    02.1% cc_arni           (208 / 10000)
    02.1% ot_saintsbridge   (208 / 10000)
    02.1% sd2_town          (207 / 10000)
    02.0% lu1_village       (203 / 10000)
    02.0% ff4_troia         (202 / 10000)
    02.0% sd2_always        (202 / 10000)
    02.0% xg_lahan          (199 / 10000)
    01.9% ffx_decision      (193 / 10000)
    01.9% ff7_costa         (191 / 10000)
    01.9% top_harmony       (188 / 10000)
    01.8% ff4_rydia         (179 / 10000)
    01.8% ct_fair           (178 / 10000)
    01.7% ot_oasis          (165 / 10000)
[WHAT]:
    06.5% ff9_gargan     (653 / 10000)
    06.4% lu2_lexis      (643 / 10000)
    06.4% xg_chuchu      (641 / 10000)
    06.3% sd3_charlotte  (628 / 10000)
    06.2% ff5_what       (622 / 10000)
    06.1% ff7_materia    (612 / 10000)
    06.1% ff6_what       (606 / 10000)
    03.4% ff4_mysidia    (340 / 10000)
    03.3% ct_spekkio     (331 / 10000)
    03.3% ff6_spinach    (331 / 10000)
    03.3% lu2_capsule    (330 / 10000)
    03.3% ff7_bothfeet   (329 / 10000)
    03.2% ct_rhythm      (325 / 10000)
    03.2% smrpg_road     (318 / 10000)
    03.2% ff6_umaro      (318 / 10000)
    03.2% sd2_dwarf      (318 / 10000)
    03.2% dc2_palmbrinks (317 / 10000)
    03.1% sd2_matango    (312 / 10000)
    03.1% smrpg_forest   (311 / 10000)
    03.1% ff6_moogles    (307 / 10000)
    02.9% mi_scummbar    (292 / 10000)
    02.9% ff6_strago     (287 / 10000)
    02.8% ff8_triad      (280 / 10000)
    02.8% ff12_ozmone    (276 / 10000)
    02.7% ff9_blackmage  (273 / 10000)
[GOGO]:
    05.2% wa_zed         (524 / 10000)
    05.1% ff6_gogo       (513 / 10000)
    05.0% ct_mountain    (504 / 10000)
    05.0% zoot_storms    (495 / 10000)
    04.9% smrpg_forest   (488 / 10000)
    04.7% sd2_desert     (472 / 10000)
    02.7% ff6_umaro      (273 / 10000)
    02.7% lu2_lexis      (271 / 10000)
    02.7% sd3_paths      (266 / 10000)
    02.6% ff6_moogles    (261 / 10000)
    02.6% ff4_calcobrena (261 / 10000)
    02.6% ff2_castle     (259 / 10000)
    02.6% ff6_kefka      (257 / 10000)
    02.5% sd2_always     (254 / 10000)
    02.5% ff7_bothfeet   (251 / 10000)
    02.5% xg_chuchu      (251 / 10000)
    02.5% ff5_library    (248 / 10000)
    02.5% smrpg_road2    (247 / 10000)
    02.4% ff5_dawn       (244 / 10000)
    02.4% crys_fields    (242 / 10000)
    02.4% sd2_legend     (240 / 10000)
    02.4% sd2_thunder    (239 / 10000)
    02.4% ff5_ship       (238 / 10000)
    02.4% ff4_giant      (238 / 10000)
    02.4% ffmq_lava      (237 / 10000)
    02.4% so2_kurik      (236 / 10000)
    02.4% ff2_battleb    (236 / 10000)
    02.4% ff9_blackmage  (236 / 10000)
    02.3% smw_castle     (233 / 10000)
    02.3% totr_ruins     (231 / 10000)
    02.3% mi_scummbar    (231 / 10000)
    02.2% ff9_gargan     (225 / 10000)
    02.2% ys3_house      (218 / 10000)
    01.9% ff5_excastle   (194 / 10000)
    01.9% ys3_time       (187 / 10000)
[RETURNERS]:
    06.7% sd2_tasnica   (667 / 10000)
    06.4% ff6_returners (638 / 10000)
    06.2% ff5_bal       (621 / 10000)
    06.2% totr_ship     (621 / 10000)
    06.1% lu2_mountain  (609 / 10000)
    06.0% ff5_pirates   (600 / 10000)
    05.5% sd2_jema      (549 / 10000)
    03.6% ff6_troops    (362 / 10000)
    03.5% ff5_world1    (355 / 10000)
    03.4% ff6_figaro    (341 / 10000)
    03.4% ff4_redwings  (339 / 10000)
    03.4% ff5_ship      (336 / 10000)
    03.4% ff5_void2     (335 / 10000)
    03.3% ff4_babil     (330 / 10000)
    03.2% lu2_castle    (325 / 10000)
    03.1% sd3_steel     (314 / 10000)
    03.1% ff3_warrior   (312 / 10000)
    03.1% lotr_aragorn  (309 / 10000)
    03.1% ff6_cyan      (307 / 10000)
    03.1% xc1_machina   (306 / 10000)
    03.0% ff5_dawn      (304 / 10000)
    02.9% met3_surface  (287 / 10000)
    02.9% lal_theme     (285 / 10000)
    02.8% xg_flight     (276 / 10000)
    02.7% ffmq_fossil   (272 / 10000)
[FANFARE]:
    06.3% ffmq_victory      (631 / 10000)
    06.3% so2_victory       (626 / 10000)
    06.0% top_victory       (601 / 10000)
    04.2% fft_apoplexy_vic  (416 / 10000)
    03.5% mmx3_zero:vic     (348 / 10000)
    03.4% ct_gato           (340 / 10000)
    03.2% ct_lucca          (321 / 10000)
    03.1% ff6_fanfare       (315 / 10000)
    03.1% ff7_fanfare       (313 / 10000)
    03.1% ct_robo:vic       (312 / 10000)
    03.0% lu2_fanfare       (303 / 10000)
    03.0% ff4_fanfare       (302 / 10000)
    03.0% ff4_airship       (301 / 10000)
    02.9% bl_rebels:vic     (295 / 10000)
    02.9% ct_ayla:vic       (294 / 10000)
    02.9% ct_frog:vic       (292 / 10000)
    02.9% ff5_wings         (289 / 10000)
    02.9% sd3_steel:vic     (289 / 10000)
    02.8% lu1_file:vic      (280 / 10000)
    02.8% ff3_warrior:vic   (278 / 10000)
    02.8% bl_fahrenheit:vic (275 / 10000)
    02.7% lal_boss:vic      (269 / 10000)
    02.7% xc2_morardain:vic (268 / 10000)
    02.6% ff5_theme         (265 / 10000)
    02.6% sd2_jema:vic      (262 / 10000)
    02.6% ff4_whale:vic     (262 / 10000)
    02.6% sd2_popoi         (262 / 10000)
    02.6% ffmq_tristam      (261 / 10000)
    02.5% ff5_bal           (249 / 10000)
    02.5% lu2_mountain      (248 / 10000)
    02.3% smrpg_battle      (233 / 10000)
[UMARO]:
    04.5% totr_aquarians     (455 / 10000)
    04.5% ff6_umaro          (452 / 10000)
    04.4% ffmq_gale          (436 / 10000)
    02.6% ff6_train          (261 / 10000)
    02.5% xc2_morardain      (254 / 10000)
    02.5% ff12_prison        (254 / 10000)
    02.5% sd2_legend         (251 / 10000)
    02.5% rs3_getpet         (250 / 10000)
    02.5% ct_tyran           (250 / 10000)
    02.5% ffmq_lava          (250 / 10000)
    02.5% ff9_gargan         (245 / 10000)
    02.4% lal_pogo           (243 / 10000)
    02.4% ct_bobonga         (240 / 10000)
    02.3% sd3_counterpoint   (232 / 10000)
    02.3% wc2_human1         (232 / 10000)
    02.3% iog_larai          (232 / 10000)
    02.3% rs3_gwain          (231 / 10000)
    02.3% ff5_pirates        (230 / 10000)
    02.3% ff6_veldt          (230 / 10000)
    02.3% lu2_cave           (229 / 10000)
    02.3% top_world3         (228 / 10000)
    02.3% smw_castle         (228 / 10000)
    02.3% cc_hydra           (227 / 10000)
    02.2% ff6_narshe         (222 / 10000)
    02.2% ffmq_tower         (221 / 10000)
    02.2% wc2_orc1           (220 / 10000)
    02.2% ct_mountain        (219 / 10000)
    02.1% ff6_mountain       (214 / 10000)
    02.1% ff5_seal           (210 / 10000)
    02.1% zlttp_darkworld    (209 / 10000)
    02.1% lo_battle          (208 / 10000)
    02.1% ff9_extraction     (206 / 10000)
    02.1% ff5_dawn           (206 / 10000)
    02.1% ff7_judgment       (205 / 10000)
    02.0% zoot_storms        (202 / 10000)
    02.0% met3_plants        (199 / 10000)
    01.9% sd2_desert         (195 / 10000)
    01.9% ff1_volcano        (192 / 10000)
    01.9% lu2_void           (186 / 10000)
    01.8% fft_apoplexy:part2 (185 / 10000)
    01.8% lu2_labyrinth      (182 / 10000)
    01.8% ff5_excastle       (179 / 10000)
[MOOGLES]:
    03.8% ff6_moogles      (377 / 10000)
    03.7% crys_fields      (372 / 10000)
    03.7% mg64_menu        (370 / 10000)
    03.6% sd2_popoi        (365 / 10000)
    03.6% ff9_blackmage    (361 / 10000)
    03.6% top_harmony      (357 / 10000)
    03.5% sd2_town         (347 / 10000)
    03.5% pkmnrse_route101 (347 / 10000)
    03.3% ct_spekkio       (333 / 10000)
    03.3% ct_fair          (333 / 10000)
    03.3% sd2_always       (329 / 10000)
    03.1% smrpg_road       (309 / 10000)
    02.0% ff3_darkworld    (199 / 10000)
    02.0% xc2_morardain    (196 / 10000)
    01.9% sdlm_snowfield   (195 / 10000)
    01.9% garou_hotaru     (194 / 10000)
    01.9% sd2_thunder      (188 / 10000)
    01.9% sd2_forest       (188 / 10000)
    01.9% ff6_strago       (187 / 10000)
    01.9% ff1_matoya       (187 / 10000)
    01.9% lu2_lexis        (186 / 10000)
    01.8% smrpg_road2      (184 / 10000)
    01.8% sth1_spring      (183 / 10000)
    01.8% ff6_gogo         (183 / 10000)
    01.8% xg_lahan         (181 / 10000)
    01.8% ffmq_tristam     (181 / 10000)
    01.8% ff5_what         (180 / 10000)
    01.8% sd3_charlotte    (176 / 10000)
    01.8% ff6_town2        (176 / 10000)
    01.8% ff7_costa        (175 / 10000)
    01.7% ff12_ozmone      (174 / 10000)
    01.7% so2_kurik        (174 / 10000)
    01.7% smb2_select      (172 / 10000)
    01.7% crys_tower       (172 / 10000)
    01.7% ff12_estersand   (170 / 10000)
    01.7% sd2_dwarf        (169 / 10000)
    01.7% sd2_city         (168 / 10000)
    01.7% mi_scummbar      (165 / 10000)
    01.7% ffmq_rock        (165 / 10000)
    01.6% totr_wind        (159 / 10000)
    01.6% ct_robo          (158 / 10000)
    01.6% xg_chuchu        (157 / 10000)
    01.6% smrpg_battle     (156 / 10000)
    01.6% smrpg_forest     (155 / 10000)
    01.5% ds4_world        (147 / 10000)
[UNFORGIVEN]:
    04.3% ff4_restless       (432 / 10000)
    04.1% ct_crisis          (407 / 10000)
    03.9% ff6_unforgiven     (386 / 10000)
    03.5% sf2_ken            (348 / 10000)
    02.3% ff4_boss           (231 / 10000)
    02.2% iog_boss           (222 / 10000)
    02.2% top_spirit         (222 / 10000)
    02.2% rs1_battle         (221 / 10000)
    02.2% sd2_boss           (216 / 10000)
    02.1% lu1_battle         (215 / 10000)
    02.1% bof2_battle        (215 / 10000)
    02.1% ff7_hurry          (214 / 10000)
    02.1% ff5_bridge         (214 / 10000)
    02.1% ct_boss            (208 / 10000)
    02.1% arc_battle:nointro (208 / 10000)
    02.1% ff5_hurry          (206 / 10000)
    02.1% ff6_metamorphosis  (206 / 10000)
    02.1% sd3_final3         (205 / 10000)
    02.1% ff7_battle         (205 / 10000)
    02.0% ot_treasure        (204 / 10000)
    02.0% ct_bike            (202 / 10000)
    02.0% spo_fight          (201 / 10000)
    02.0% bof2_barubary      (200 / 10000)
    02.0% ff14_labten        (199 / 10000)
    02.0% mmx_prologue       (199 / 10000)
    02.0% ff1_mboss          (198 / 10000)
    02.0% sd3_mana           (197 / 10000)
    01.9% ff7_boss           (195 / 10000)
    01.9% bof2_battle2       (194 / 10000)
    01.9% arc_battle         (192 / 10000)
    01.9% ffmq_hill          (190 / 10000)
    01.9% ff6_battle         (190 / 10000)
    01.9% sd1_boss           (188 / 10000)
    01.9% xg_weltall         (187 / 10000)
    01.9% ff4_battle         (186 / 10000)
    01.9% rsms_battle        (186 / 10000)
    01.8% ff6_boss           (185 / 10000)
    01.8% ct_battle          (185 / 10000)
    01.8% totr_battle        (184 / 10000)
    01.8% lal_psycho         (183 / 10000)
    01.8% so2_rescue         (181 / 10000)
    01.8% ob_battle          (180 / 10000)
    01.8% ff7_battle_ff6     (178 / 10000)
    01.8% ff14_fate_ff6      (178 / 10000)
    01.6% top_boss           (158 / 10000)
    01.5% ff7_hurry2         (153 / 10000)
    01.5% ys3_time           (146 / 10000)
[ATMA]:
    05.2% ff8_lion        (524 / 10000)
    04.1% lu2_battle3     (408 / 10000)
    02.7% ff1_fiend2      (268 / 10000)
    02.7% xg_boss         (266 / 10000)
    02.6% totr_pathboss   (264 / 10000)
    02.6% lu1_final       (264 / 10000)
    02.6% ff5_boss        (259 / 10000)
    02.6% ct_tylair       (256 / 10000)
    02.5% ff1_fiend1      (254 / 10000)
    02.5% ff10_seymour    (254 / 10000)
    02.5% lal_boss        (253 / 10000)
    02.5% ct_boss2        (252 / 10000)
    02.5% ff5_decisive    (250 / 10000)
    02.5% ff9_dragons     (247 / 10000)
    02.5% sdlm_pain       (245 / 10000)
    02.4% ff7_boss        (243 / 10000)
    02.4% sd3_faith       (243 / 10000)
    02.4% ff8_landing     (242 / 10000)
    02.4% fft_antipyretic (242 / 10000)
    02.4% ff4_fiend       (237 / 10000)
    02.3% ff1_dungeon     (230 / 10000)
    02.2% sd3_mana        (224 / 10000)
    02.2% ff5_bridge      (220 / 10000)
    02.1% sd1s_courage    (206 / 10000)
    02.1% ff9_boss        (205 / 10000)
    02.0% xg_final        (202 / 10000)
    01.9% cc_flame        (194 / 10000)
    01.9% ff6_atma        (192 / 10000)
    01.9% ct_final        (191 / 10000)
    01.9% ct_magus        (189 / 10000)
    01.9% ff7_jenova      (188 / 10000)
    01.9% ct_revolution   (187 / 10000)
    01.9% ffmq_boss       (187 / 10000)
    01.8% sd1_boss        (175 / 10000)
    01.7% ffmq_final      (173 / 10000)
    01.7% top_spirit      (167 / 10000)
    01.6% ff7_weapon      (161 / 10000)
    01.6% ff4_boss        (160 / 10000)
    01.4% rs3_devil2      (143 / 10000)
    01.3% cc_final        (130 / 10000)
    01.3% ff6_dmad        (129 / 10000)
    01.1% ff5_final       (115 / 10000)
    01.1% eo3_waves       (111 / 10000)
    01.1% ff1_final       (106 / 10000)
    00.9% ff7_rebirth     (88 / 10000)
    00.8% ff6_final       (78 / 10000)
    00.6% ff4_zeromus     (61 / 10000)
    00.6% sd2_final       (60 / 10000)
    00.4% sd3_final3      (44 / 10000)
    00.1% sd2_boss        (10 / 10000)
    00.0% ff8_laguna      (3 / 10000)
[RUINTOWN]:
    04.0% 7th_town       (400 / 10000)
    03.9% ff6_ruintown   (392 / 10000)
    03.6% sd3_pray       (365 / 10000)
    03.6% sdlm_nostalgic (358 / 10000)
    03.6% lu2_narvick    (358 / 10000)
    03.6% ff4_damcyan    (357 / 10000)
    03.5% ot_oasis       (353 / 10000)
    03.5% ff5_home       (350 / 10000)
    03.5% top_freeze     (347 / 10000)
    03.4% sd1s_risingsun (344 / 10000)
    03.3% rs3_sarah      (327 / 10000)
    03.2% sd1s_fate      (320 / 10000)
    02.0% lu1_parting    (202 / 10000)
    02.0% ff9_world      (200 / 10000)
    02.0% 7th_ruins      (200 / 10000)
    02.0% ff7_tifa       (199 / 10000)
    01.9% ff7_corel      (191 / 10000)
    01.9% ff9_dali       (190 / 10000)
    01.9% ffmq_light     (188 / 10000)
    01.9% ff5_lenna      (188 / 10000)
    01.9% ot_cliftlands  (187 / 10000)
    01.9% ff14_burn      (187 / 10000)
    01.9% ff9_home       (187 / 10000)
    01.9% rtrek_world    (186 / 10000)
    01.8% ff6_martiallaw (184 / 10000)
    01.8% lu1_village    (182 / 10000)
    01.8% top_mint       (181 / 10000)
    01.8% ff5_world3     (181 / 10000)
    01.8% sd2_lofty      (180 / 10000)
    01.8% ff6_gau        (180 / 10000)
    01.8% ot_stillsnow   (180 / 10000)
    01.8% sd3_holyland   (179 / 10000)
    01.8% rd_summer      (178 / 10000)
    01.8% ff8_horizon    (175 / 10000)
    01.7% ff2_theme      (174 / 10000)
    01.7% dc2_garden     (172 / 10000)
    01.7% ff6_rachel     (172 / 10000)
    01.7% lu2_parting    (171 / 10000)
    01.7% sdlm_bonds     (169 / 10000)
    01.6% sd3_winter     (158 / 10000)
    01.6% lu2_priphea    (157 / 10000)
    01.5% ffmq_forest    (154 / 10000)
    01.5% ff5_town       (150 / 10000)
    01.5% ff7_sadbar     (147 / 10000)
[BLACKJACK]:
    05.4% ff4_airship           (540 / 10000)
    05.1% ff6_blackjack         (512 / 10000)
    05.1% ff4_whale             (508 / 10000)
    05.1% sd2_flammie           (506 / 10000)
    05.1% ff5_airship           (506 / 10000)
    04.8% ct_epoch              (480 / 10000)
    04.8% duck_moon             (476 / 10000)
    04.6% sd3_flight            (463 / 10000)
    04.6% ff5_wings             (460 / 10000)
    04.5% smrpg_battle          (447 / 10000)
    04.5% ff4_giant_remix       (445 / 10000)
    02.8% bl_fahrenheit:nointro (281 / 10000)
    02.7% blord_2tower          (273 / 10000)
    02.7% ct_bike               (266 / 10000)
    02.5% fz_silence            (253 / 10000)
    02.4% sth1_hill             (243 / 10000)
    02.4% ds4_world             (241 / 10000)
    02.4% sd3_tension           (237 / 10000)
    02.4% ys3_wings             (235 / 10000)
    02.4% ff4_battle            (235 / 10000)
    02.3% crys_tower            (234 / 10000)
    02.3% sdlm_wind             (230 / 10000)
    02.3% smrpg_road            (226 / 10000)
    02.2% fz_white1             (223 / 10000)
    02.2% ff6_falcon            (222 / 10000)
    02.2% mmx_prologue          (221 / 10000)
    02.2% ys8_idance            (218 / 10000)
    02.2% crys_mountain         (216 / 10000)
    02.1% ffmq_rock             (214 / 10000)
    02.1% sf2_guile             (214 / 10000)
    01.8% ys3_time              (175 / 10000)
[CATASTROPHE]:
    04.2% ff4_bomb           (419 / 10000)
    04.2% bof1_jade          (415 / 10000)
    03.9% ff6_catastrophe    (392 / 10000)
    03.9% lu1_prologue       (390 / 10000)
    03.7% grad3_moai         (366 / 10000)
    03.6% ff9_messenger      (364 / 10000)
    03.6% ff5_decisive       (363 / 10000)
    03.6% ct_truth           (363 / 10000)
    03.5% ff9_extraction     (354 / 10000)
    03.5% ff8_lion:nointro   (352 / 10000)
    03.4% ff7_weapon         (341 / 10000)
    03.3% sd2_morning        (334 / 10000)
    03.3% ct_lavos:full      (332 / 10000)
    03.2% lu2_daos           (323 / 10000)
    02.5% cc_flame           (247 / 10000)
    02.0% ff5_boss           (203 / 10000)
    01.9% ct_tylair          (191 / 10000)
    01.9% iog_boss           (188 / 10000)
